Location,Type,N_Rent_Households_18,Overall_Burden_Rate_18,Moderate_Burden_Rate_18,Severe_Burden_Rate_18,N_Burden_Overall_18,N_Burden_Moderate_18,N_Burden_Severe_18,Median_Rent_18,Median_Renter_Income_18,N_Rent_Households_17,Overall_Burden_Rate_17,Moderate_Burden_Rate_17,Severe_Burden_Rate_17,N_Burden_Overall_17,N_Burden_Moderate_17,N_Burden_Severe_17,Median_Rent_17,Median_Renter_Income_17,N_Rent_Households_08,Overall_Burden_Rate_08,Moderate_Burden_Rate_08,Severe_Burden_Rate_08,N_Burden_Overall_08,N_Burden_Moderate_08,N_Burden_Severe_08,Median_Rent_08,Median_Renter_Income_08,N_Rent_Households_change_17_18,Overall_Burden_Rate_change_17_18,Moderate_Burden_Rate_change_17_18,Severe_Burden_Rate_change_17_18,N_Burden_Overall_change_17_18,N_Burden_Moderate_change_17_18,N_Burden_Severe_change_17_18,Median_Rent_change_17_18,Median_Renter_Income_change_17_18,N_Rent_Households_change_08_18,Overall_Burden_Rate_change_08_18,Moderate_Burden_Rate_change_08_18,Severe_Burden_Rate_change_08_18,N_Burden_Overall_change_08_18,N_Burden_Moderate_change_08_18,N_Burden_Severe_change_08_18,Median_Rent_change_08_18
"Billings, MT",Metro,21292,0.448,0.184,0.264,9548,3923,5625,883,35714,0.472,0.246,0.226,9881,5144,4737,864,33577,18041,0.45,0.249,0.2,8111,4498,3613,716,34904,347,-0.023,-0.061,0.038,-333,-1221,888,0.022,0.064,3251,-0.001,-0.065,0.064,1437,-575,2012,0.233,0.023
"Binghamton, NY",Metro,29251,0.538,0.265,0.272,15732,7765,7967,764,26060,0.506,0.207,0.299,14551,5957,8594,763,27403,29085,0.509,0.276,0.233,14796,8025,6771,707,27723,476,0.032,0.058,-0.026,1181,1808,-627,0.001,-0.049,166,0.029,-0.01,0.04,936,-260,1196,0.081,-0.06
"Birmingham, AL",Metro,118242,0.468,0.234,0.234,55370,27720,27650,892,35321,0.478,0.236,0.242,60344,29782,30562,866,32344,109155,0.469,0.236,0.233,51231,25783,25448,827,32334,-7978,-0.01,-0.002,-0.008,-4974,-2062,-2912,0.03,0.092,9087,-0.001,-0.002,0.001,4139,1937,2202,0.079,0.092
"Bismarck, ND",Metro,16167,0.338,0.23,0.108,5468,3718,1750,827,42771,0.507,0.253,0.254,8282,4129,4153,889,31846,10625,0.307,0.159,0.148,3257,1685,1572,624,30734,-158,-0.169,-0.023,-0.146,-2814,-411,-2403,-0.069,0.343,5542,0.032,0.071,-0.04,2211,2033,178,0.326,0.392
"Blacksburg, VA",Metro,19240,0.502,0.18,0.322,9654,3454,6200,913,25371,0.454,0.177,0.277,10194,3965,6229,880,33861,21624,0.558,0.267,0.291,12067,5776,6291,752,24302,-3220,0.048,0.003,0.045,-540,-511,-29,0.037,-0.251,-2384,-0.056,-0.088,0.031,-2413,-2322,-91,0.215,0.044
"Bloomington, IL",Metro,21382,0.441,0.172,0.269,9423,3672,5751,818,31738,0.461,0.218,0.243,9424,4456,4968,807,29193,19133,0.506,0.24,0.266,9676,4590,5086,816,33526,931,-0.02,-0.046,0.026,-1,-784,783,0.013,0.087,2249,-0.065,-0.068,0.003,-253,-918,665,0.002,-0.053
"Bloomington, IN",Metro,26291,0.613,0.234,0.38,16120,6139,9981,882,27754,0.554,0.219,0.335,14084,5566,8518,859,25276,25529,0.568,0.223,0.346,14513,5681,8832,788,21210,852,0.059,0.015,0.045,2036,573,1463,0.027,0.098,762,0.045,0.011,0.034,1607,458,1149,0.119,0.309
"Bloomsburg, PA",Metro,8505,0.431,0.282,0.149,3664,2400,1264,733,25758,0.362,0.19,0.173,3236,1695,1541,775,31960,8480,0.417,0.118,0.299,3533,1000,2533,656,29329,-422,0.068,0.092,-0.024,428,705,-277,-0.054,-0.194,25,0.014,0.164,-0.15,131,1400,-1269,0.118,-0.122
"Bluefield, WV",Metro,10279,0.491,0.254,0.237,5049,2615,2434,704,31993,0.468,0.252,0.216,4865,2617,2248,659,26036,10225,0.46,0.17,0.29,4704,1742,2962,573,19252,-121,0.023,0.003,0.021,184,-2,186,0.068,0.229,54,0.031,0.084,-0.053,345,873,-528,0.229,0.662
"Boise City, ID",Metro,71492,0.456,0.26,0.196,32595,18608,13987,946,39405,0.46,0.245,0.215,34354,18275,16079,946,36801,61228,0.433,0.264,0.168,26495,16194,10301,865,37697,-3155,-0.004,0.015,-0.02,-1759,333,-2092,0,0.071,10264,0.023,-0.004,0.027,6100,2414,3686,0.094,0.045
"Boston, MA",Metro,680747,0.496,0.249,0.247,337891,169661,168230,1501,51804,0.489,0.244,0.245,323671,161215,162456,1437,48940,587165,0.493,0.242,0.251,289733,142196,147537,1294,45410,18964,0.007,0.006,0.002,14220,8446,5774,0.045,0.059,93582,0.003,0.007,-0.004,48158,27465,20693,0.16,0.141
"Boulder, CO",Metro,45995,0.55,0.23,0.32,25294,10568,14726,1498,49626,0.598,0.298,0.299,28497,14227,14270,1525,49404,39521,0.541,0.255,0.286,21366,10063,11303,1096,38164,-1691,-0.048,-0.069,0.021,-3203,-3659,456,-0.018,0.004,6474,0.009,-0.025,0.034,3928,505,3423,0.367,0.3
"Bowling Green, KY",Metro,22737,0.408,0.179,0.229,9284,4081,5203,778,31390,0.464,0.23,0.235,10281,5084,5197,784,32005,17098,0.42,0.159,0.261,7175,2716,4459,741,26779,589,-0.056,-0.05,-0.006,-997,-1003,6,-0.007,-0.019,5639,-0.011,0.021,-0.032,2109,1365,744,0.05,0.172
"Bozeman, MT",Metro,15886,0.487,0.261,0.225,7734,4153,3581,1105,46114,0.544,0.256,0.288,8427,3960,4467,1031,37050,12197,0.422,0.243,0.179,5153,2966,2187,966,39063,396,-0.057,0.006,-0.063,-693,193,-886,0.072,0.245,3689,0.064,0.018,0.046,2581,1187,1394,0.144,0.181
"Brainerd, MN",Metro,7918,0.473,0.295,0.179,3749,2335,1414,717,26489,0.481,0.273,0.208,3528,2005,1523,797,29451,8481,0.409,0.25,0.159,3468,2121,1347,641,28730,583,-0.008,0.022,-0.029,221,330,-109,-0.101,-0.101,-563,0.065,0.045,0.02,281,214,67,0.119,-0.078
"Branson, MO",Metro,7838,0.518,0.282,0.236,4061,2210,1851,710,27309,0.458,0.279,0.179,3796,2309,1487,844,38748,7108,0.391,0.153,0.239,2780,1084,1696,722,38034,-449,0.06,0.003,0.057,265,-99,364,-0.159,-0.295,730,0.127,0.129,-0.002,1281,1126,155,-0.017,-0.282
"Bremerton, WA",Metro,29815,0.506,0.284,0.222,15094,8478,6616,1305,48104,0.474,0.244,0.229,15638,8069,7569,1213,47948,26716,0.516,0.285,0.232,13797,7605,6192,1037,39683,-3206,0.033,0.04,-0.007,-544,409,-953,0.076,0.003,3099,-0.01,0,-0.01,1297,873,424,0.258,0.212
"Bridgeport, CT",Metro,112953,0.553,0.244,0.309,62504,27606,34898,1439,45735,0.542,0.242,0.299,57062,25537,31525,1479,47910,85370,0.528,0.259,0.269,45101,22106,22995,1447,49981,7627,0.012,0.002,0.01,5442,2069,3373,-0.027,-0.045,27583,0.025,-0.015,0.04,17403,5500,11903,-0.006,-0.085
"Brownsville, TX",Metro,37088,0.54,0.274,0.266,20023,10162,9861,712,23517,0.536,0.251,0.285,20726,9714,11012,717,23451,33194,0.544,0.266,0.278,18073,8844,9229,598,19569,-1605,0.004,0.023,-0.019,-703,448,-1151,-0.007,0.003,3894,-0.005,0.008,-0.012,1950,1318,632,0.19,0.202
"Brunswick, GA",Metro,13310,0.545,0.31,0.235,7255,4121,3134,925,30642,0.476,0.241,0.235,5318,2694,2624,889,36182,10408,0.347,0.182,0.165,3615,1895,1720,887,36232,2136,0.069,0.069,0.001,1937,1427,510,0.041,-0.153,2902,0.198,0.128,0.07,3640,2226,1414,0.043,-0.154
"Buffalo, NY",Metro,156348,0.481,0.211,0.27,75199,33045,42154,809,32311,0.503,0.238,0.265,76826,36418,40408,794,30835,148404,0.506,0.213,0.293,75056,31572,43484,775,29658,3623,-0.022,-0.027,0.005,-1627,-3373,1746,0.019,0.048,7944,-0.025,-0.001,-0.023,143,1473,-1330,0.044,0.089
"Burlington, NC",Metro,20018,0.452,0.277,0.176,9056,5536,3520,819,34938,0.483,0.245,0.237,10362,5268,5094,780,31125,18706,0.469,0.263,0.206,8771,4922,3849,836,32639,-1457,-0.03,0.031,-0.061,-1306,268,-1574,0.05,0.123,1312,-0.016,0.013,-0.03,285,614,-329,-0.02,0.07
"Burlington, VT",Metro,27762,0.494,0.227,0.267,13726,6314,7412,1159,39250,0.551,0.241,0.31,16745,7314,9431,1247,41542,22013,0.585,0.302,0.283,12875,6654,6221,1082,44026,-2620,-0.057,-0.013,-0.043,-3019,-1000,-2019,-0.07,-0.055,5749,-0.09,-0.075,-0.016,851,-340,1191,0.071,-0.108
"Canton, OH",Metro,48630,0.427,0.242,0.184,20757,11792,8965,715,30201,0.426,0.22,0.206,20774,10739,10035,744,29640,46420,0.46,0.235,0.226,21361,10892,10469,703,26495,-182,0.001,0.022,-0.021,-17,1053,-1070,-0.039,0.019,2210,-0.033,0.008,-0.041,-604,900,-1504,0.017,0.14
"Cape Coral, FL",Metro,71442,0.554,0.27,0.284,39614,19325,20289,1190,41236,0.487,0.243,0.244,34760,17325,17435,1148,45596,57319,0.544,0.285,0.259,31162,16320,14842,1227,44713,74,0.067,0.028,0.04,4854,2000,2854,0.037,-0.096,14123,0.011,-0.014,0.025,8452,3005,5447,-0.03,-0.078
"Cape Girardeau, MO",Metro,10858,0.455,0.2,0.255,4940,2168,2772,774,31025,0.397,0.122,0.275,3547,1090,2457,771,29958,10588,0.395,0.169,0.226,4187,1794,2393,662,33318,1922,0.058,0.078,-0.02,1393,1078,315,0.003,0.036,270,0.06,0.03,0.029,753,374,379,0.17,-0.069
"Casper, WY",Metro,8607,0.41,0.311,0.099,3525,2677,848,857,42016,0.457,0.336,0.121,3868,2846,1022,896,41703,8052,0.568,0.296,0.272,4571,2381,2190,687,32672,145,-0.048,-0.025,-0.022,-343,-169,-174,-0.043,0.008,555,-0.158,0.015,-0.173,-1046,296,-1342,0.247,0.286
"Cedar Rapids, IA",Metro,25009,0.435,0.239,0.196,10868,5977,4891,695,31758,0.357,0.188,0.169,8587,4527,4060,749,36848,25036,0.39,0.214,0.176,9771,5360,4411,660,31330,927,0.078,0.051,0.027,2281,1450,831,-0.072,-0.138,-27,0.044,0.025,0.019,1097,617,480,0.052,0.014
"Centralia, WA",Metro,8091,0.43,0.249,0.182,3483,2011,1472,907,36361,0.451,0.249,0.202,3685,2032,1653,919,38591,7021,0.544,0.346,0.198,3819,2432,1387,888,40909,-80,-0.021,0,-0.02,-202,-21,-181,-0.013,-0.058,1070,-0.113,-0.098,-0.016,-336,-421,85,0.022,-0.111
"Chambersburg, PA",Metro,15436,0.456,0.231,0.225,7037,3565,3472,833,37069,0.402,0.205,0.197,7310,3736,3574,885,41140,15259,0.353,0.174,0.179,5386,2657,2729,746,37027,-2752,0.054,0.026,0.028,-273,-171,-102,-0.058,-0.099,177,0.103,0.057,0.046,1651,908,743,0.117,0.001
"Champaign, IL",Metro,36965,0.528,0.223,0.305,19535,8256,11279,809,28578,0.557,0.268,0.289,19947,9595,10352,835,24839,34722,0.534,0.219,0.315,18530,7591,10939,805,26950,1143,-0.028,-0.045,0.016,-412,-1339,927,-0.031,0.151,2243,-0.005,0.005,-0.01,1005,665,340,0.005,0.06
"Charleston, SC",Metro,90094,0.51,0.248,0.262,45985,22359,23626,1201,42516,0.532,0.267,0.266,51040,25559,25481,1133,40465,66378,0.527,0.262,0.265,35004,17407,17597,983,40074,-5807,-0.022,-0.018,-0.003,-5055,-3200,-1855,0.06,0.051,23716,-0.017,-0.014,-0.003,10981,4952,6029,0.222,0.061
"Charleston, WV",Metro,22432,0.605,0.307,0.298,13581,6891,6690,764,24328,0.423,0.218,0.205,8567,4419,4148,684,27273,29412,0.388,0.186,0.202,11418,5475,5943,685,27170,2194,0.182,0.089,0.093,5014,2472,2542,0.117,-0.108,-6980,0.217,0.121,0.096,2163,1416,747,0.116,-0.105
"Charlotte, NC",Metro,308096,0.462,0.252,0.21,142313,77616,64697,1042,42380,0.445,0.242,0.203,135227,73523,61704,1005,41617,196602,0.43,0.215,0.215,84571,42260,42311,923,38433,4523,0.016,0.01,0.007,7086,4093,2993,0.037,0.018,111494,0.032,0.037,-0.005,57742,35356,22386,0.129,0.103
"Charlottesville, VA",Metro,29293,0.513,0.243,0.27,15022,7122,7900,1186,44646,0.428,0.171,0.256,12353,4952,7401,1174,46750,24426,0.515,0.262,0.253,12583,6405,6178,1069,41960,408,0.085,0.072,0.013,2669,2170,499,0.011,-0.045,4867,-0.002,-0.019,0.017,2439,717,1722,0.109,0.064
"Chattanooga, TN",Metro,64279,0.438,0.234,0.204,28132,15010,13122,834,35874,0.471,0.267,0.204,32034,18141,13893,818,32110,53871,0.503,0.266,0.237,27090,14308,12782,722,30322,-3673,-0.034,-0.033,0,-3902,-3131,-771,0.02,0.117,10408,-0.065,-0.032,-0.033,1042,702,340,0.154,0.183
"Cheyenne, WY",Metro,10609,0.493,0.295,0.198,5234,3134,2100,893,32301,0.458,0.245,0.213,4702,2513,2189,977,38333,7964,0.308,0.166,0.142,2455,1326,1129,791,41919,335,0.036,0.051,-0.015,532,621,-89,-0.086,-0.157,2645,0.185,0.129,0.056,2779,1808,971,0.13,-0.229
"Chicago, IL",Metro,1172255,0.477,0.237,0.241,559530,277552,281978,1110,42959,0.489,0.234,0.256,570411,272502,297909,1109,42304,1026531,0.502,0.232,0.27,515711,238499,277212,1033,39188,6814,-0.012,0.003,-0.015,-10881,5050,-15931,0.001,0.015,145724,-0.025,0.004,-0.03,43819,39053,4766,0.075,0.096
"Chico, CA",Metro,34149,0.566,0.251,0.315,19323,8569,10754,1066,36259,0.599,0.314,0.285,20316,10653,9663,1029,36410,34757,0.62,0.275,0.345,21543,9548,11995,995,30714,221,-0.033,-0.063,0.03,-993,-2084,1091,0.036,-0.004,-608,-0.054,-0.024,-0.03,-2220,-979,-1241,0.072,0.181
"Chillicothe, OH",Metro,8927,0.516,0.164,0.352,4609,1467,3142,667,22763,0.466,0.256,0.21,3222,1770,1452,751,29579,5719,0.426,0.255,0.17,2434,1461,973,696,33162,2019,0.05,-0.092,0.142,1387,-303,1690,-0.112,-0.23,3208,0.091,-0.091,0.182,2175,6,2169,-0.041,-0.314
"Cincinnati, OH",Metro,280627,0.457,0.226,0.23,128119,63536,64583,850,36093,0.429,0.207,0.222,116540,56221,60319,813,35205,230799,0.468,0.234,0.234,107972,54079,53893,793,31985,8688,0.028,0.02,0.008,11579,7315,4264,0.046,0.025,49828,-0.011,-0.008,-0.003,20147,9457,10690,0.072,0.128
"Clarksburg, WV",Metro,8376,0.502,0.27,0.232,4205,2262,1943,818,30976,0.499,0.212,0.287,3216,1366,1850,726,27573,7752,0.559,0.236,0.324,4337,1827,2510,651,21041,1933,0.003,0.058,-0.055,989,896,93,0.126,0.123,624,-0.057,0.034,-0.092,-132,435,-567,0.257,0.472
"Clarksville, TN",Metro,41622,0.499,0.296,0.203,20754,12320,8434,927,36253,0.468,0.256,0.212,19229,10515,8714,933,38318,29321,0.477,0.246,0.231,13990,7217,6773,783,32464,551,0.03,0.04,-0.01,1525,1805,-280,-0.006,-0.054,12301,0.021,0.05,-0.028,6764,5103,1661,0.184,0.117
"Clearlake, CA",Metro,8389,0.571,0.266,0.306,4794,2228,2566,1173,36428,0.503,0.234,0.269,3259,1515,1744,964,32534,8081,0.58,0.331,0.249,4689,2673,2016,1064,32545,1915,0.068,0.032,0.036,1535,713,822,0.217,0.12,308,-0.009,-0.065,0.056,105,-445,550,0.102,0.119
"Cleveland, OH",Metro,284205,0.47,0.226,0.245,133710,64167,69543,804,31293,0.49,0.241,0.249,138880,68402,70478,812,31105,247081,0.511,0.231,0.28,126233,57081,69152,825,30658,712,-0.019,-0.016,-0.004,-5170,-4235,-935,-0.009,0.006,37124,-0.04,-0.005,-0.035,7477,7086,391,-0.025,0.021
"Cleveland, TN",Metro,12877,0.436,0.261,0.175,5613,3356,2257,770,32955,0.452,0.236,0.216,6562,3422,3140,749,33642,11852,0.425,0.256,0.169,5041,3036,2005,694,29133,-1634,-0.016,0.025,-0.041,-949,-66,-883,0.028,-0.02,1025,0.011,0.004,0.006,572,320,252,0.109,0.131
"Coeur d'Alene, ID",Metro,17525,0.574,0.328,0.245,10054,5752,4302,1001,36999,0.424,0.28,0.144,6493,4288,2205,1000,44222,14277,0.48,0.319,0.161,6854,4559,2295,877,35096,2211,0.15,0.048,0.101,3561,1464,2097,0.001,-0.163,3248,0.094,0.009,0.085,3200,1193,2007,0.142,0.054
"College Station, TX",Metro,44364,0.543,0.223,0.32,24088,9884,14204,937,31067,0.614,0.185,0.43,24869,7477,17392,925,25564,32063,0.554,0.198,0.356,17760,6337,11423,806,26143,3891,-0.071,0.038,-0.11,-781,2407,-3188,0.013,0.215,12301,-0.011,0.025,-0.036,6328,3547,2781,0.162,0.188
"Colorado Springs, CO",Metro,86785,0.532,0.288,0.244,46184,25000,21184,1188,45726,0.545,0.314,0.231,51004,29374,21630,1179,42685,70087,0.457,0.246,0.212,32062,17226,14836,951,39259,-6750,-0.013,-0.026,0.013,-4820,-4374,-446,0.008,0.071,16698,0.075,0.042,0.032,14122,7774,6348,0.249,0.165
"Columbia, MO",Metro,31888,0.49,0.217,0.274,15636,6914,8722,878,32552,0.529,0.258,0.272,15632,7605,8027,894,32914,27400,0.493,0.197,0.296,13509,5400,8109,825,29422,2355,-0.039,-0.041,0.002,4,-691,695,-0.018,-0.011,4488,-0.003,0.02,-0.022,2127,1514,613,0.065,0.106
"Columbia, SC",Metro,96064,0.505,0.232,0.273,48550,22286,26264,946,35741,0.511,0.231,0.28,46749,21145,25604,916,34581,78220,0.491,0.244,0.247,38387,19103,19284,857,37374,4627,-0.006,0.001,-0.007,1801,1141,660,0.032,0.034,17844,0.015,-0.012,0.027,10163,3183,6980,0.103,-0.044
"Columbus, GA",Metro,46410,0.485,0.224,0.262,22523,10376,12147,855,34263,0.528,0.237,0.291,25052,11230,13822,830,28676,39892,0.54,0.301,0.239,21533,12002,9531,826,30107,-1008,-0.043,-0.013,-0.03,-2529,-854,-1675,0.03,0.195,6518,-0.054,-0.077,0.023,990,-1626,2616,0.035,0.138
"Columbus, IN",Metro,8843,0.263,0.084,0.179,2323,743,1580,912,53982,0.36,0.238,0.122,2895,1913,982,896,37402,6621,0.512,0.221,0.291,3390,1463,1927,884,43115,793,-0.097,-0.154,0.057,-572,-1170,598,0.018,0.443,2222,-0.249,-0.137,-0.112,-1067,-720,-347,0.031,0.252
"Columbus, OH",Metro,288958,0.429,0.223,0.205,123822,64580,59242,947,40576,0.441,0.234,0.207,126894,67429,59465,942,40188,227778,0.461,0.24,0.222,105104,54572,50532,861,34544,1147,-0.012,-0.011,-0.002,-3072,-2849,-223,0.005,0.01,61180,-0.033,-0.016,-0.017,18718,10008,8710,0.1,0.175
"Concord, NH",Metro,13503,0.459,0.274,0.185,6200,3706,2494,1012,40004,0.465,0.235,0.23,8245,4162,4083,1069,44086,15086,0.483,0.265,0.218,7288,3996,3292,1068,43700,-4237,-0.006,0.04,-0.045,-2045,-456,-1589,-0.053,-0.093,-1583,-0.024,0.01,-0.034,-1088,-290,-798,-0.052,-0.085
"Cookeville, TN",Metro,13873,0.471,0.236,0.235,6531,3276,3255,703,26651,0.447,0.232,0.215,5805,3017,2788,640,26270,10129,0.475,0.197,0.278,4816,1999,2817,656,24144,887,0.024,0.004,0.02,726,259,467,0.099,0.015,3744,-0.005,0.039,-0.043,1715,1277,438,0.072,0.104
"Coos Bay, OR",Metro,9139,0.428,0.308,0.12,3907,2812,1095,846,36530,0.556,0.247,0.309,4064,1806,2258,850,25550,7948,0.644,0.266,0.378,5119,2118,3001,722,30179,1836,-0.129,0.06,-0.189,-157,1006,-1163,-0.004,0.43,1191,-0.217,0.041,-0.258,-1212,694,-1906,0.171,0.21
"Corning, NY",Metro,10045,0.373,0.216,0.157,3743,2167,1576,658,30298,0.456,0.268,0.187,3670,2162,1508,684,30979,9549,0.539,0.282,0.257,5148,2693,2455,674,25778,1990,-0.083,-0.053,-0.03,73,5,68,-0.038,-0.022,496,-0.166,-0.066,-0.1,-1405,-526,-879,-0.023,0.175
"Corpus Christi, TX",Metro,58053,0.485,0.26,0.225,28158,15079,13079,1006,39777,0.474,0.23,0.244,28908,14022,14886,978,37380,50978,0.557,0.283,0.273,28385,14444,13941,891,30801,-2943,0.011,0.03,-0.019,-750,1057,-1807,0.028,0.064,7075,-0.072,-0.024,-0.048,-227,635,-862,0.128,0.291
"Corvallis, OR",Metro,13822,0.568,0.177,0.391,7853,2451,5402,1072,31823,0.62,0.261,0.359,9168,3857,5311,1081,35384,13767,0.597,0.203,0.395,8225,2792,5433,834,26391,-965,-0.052,-0.084,0.032,-1315,-1406,91,-0.008,-0.101,55,-0.029,-0.025,-0.004,-372,-341,-31,0.285,0.206
"Cullman, AL",Metro,6339,0.469,0.291,0.179,2975,1843,1132,710,25481,0.476,0.301,0.175,3441,2177,1264,676,26223,6329,0.366,0.137,0.229,2317,865,1452,634,23687,-889,-0.007,-0.01,0.004,-466,-334,-132,0.051,-0.028,10,0.103,0.154,-0.051,658,978,-320,0.121,0.076
"Cumberland, MD",Metro,9075,0.558,0.362,0.195,5062,3288,1774,650,26111,0.383,0.219,0.163,4030,2309,1721,683,30217,9071,0.351,0.182,0.169,3186,1652,1534,621,30069,-1454,0.175,0.143,0.032,1032,979,53,-0.048,-0.136,4,0.207,0.18,0.026,1876,1636,240,0.046,-0.132
"Dallas, TX",Metro,1021287,0.472,0.261,0.211,482049,266559,215490,1152,47637,0.461,0.253,0.209,454757,249074,205683,1116,47102,763056,0.48,0.258,0.222,365996,196783,169213,971,41796,35832,0.011,0.008,0.002,27292,17485,9807,0.032,0.011,258231,-0.008,0.003,-0.011,116053,69776,46277,0.187,0.14
"Dalton, GA",Metro,15754,0.432,0.268,0.164,6803,4221,2582,704,35142,0.329,0.169,0.16,5769,2964,2805,714,36749,12519,0.459,0.22,0.239,5747,2750,2997,680,27436,-1772,0.103,0.099,0.004,1034,1257,-223,-0.014,-0.044,3235,-0.027,0.048,-0.076,1056,1471,-415,0.036,0.281
"Danville, IL",Metro,8363,0.475,0.229,0.246,3974,1914,2060,675,24454,0.38,0.195,0.185,2929,1501,1428,688,29443,7639,0.439,0.164,0.276,3356,1249,2107,718,28285,647,0.096,0.034,0.061,1045,413,632,-0.019,-0.169,724,0.036,0.065,-0.029,618,665,-47,-0.059,-0.135
"Danville, VA",Metro,12874,0.46,0.258,0.202,5916,3316,2600,705,29833,0.477,0.279,0.197,6664,3905,2759,692,25696,12367,0.466,0.265,0.201,5759,3274,2485,641,26479,-1104,-0.017,-0.022,0.005,-748,-589,-159,0.018,0.161,507,-0.006,-0.007,0.001,157,42,115,0.1,0.127
"Daphne, AL",Metro,17660,0.555,0.321,0.234,9803,5669,4134,1057,35948,0.404,0.243,0.161,7148,4294,2854,957,40046,13970,0.394,0.138,0.256,5506,1924,3582,951,32913,-21,0.151,0.078,0.073,2655,1375,1280,0.105,-0.102,3690,0.161,0.183,-0.022,4297,3745,552,0.111,0.092
"Davenport, IA",Metro,42417,0.43,0.22,0.211,18249,9320,8929,777,32296,0.457,0.219,0.237,18483,8875,9608,764,31614,40851,0.414,0.215,0.198,16900,8795,8105,694,31818,1938,-0.026,0,-0.027,-234,445,-679,0.017,0.022,1566,0.017,0.004,0.012,1349,525,824,0.119,0.015
