Location,Type,N_Rent_Households_18,Overall_Burden_Rate_18,Moderate_Burden_Rate_18,Severe_Burden_Rate_18,N_Burden_Overall_18,N_Burden_Moderate_18,N_Burden_Severe_18,Median_Rent_18,Median_Renter_Income_18,N_Rent_Households_17,Overall_Burden_Rate_17,Moderate_Burden_Rate_17,Severe_Burden_Rate_17,N_Burden_Overall_17,N_Burden_Moderate_17,N_Burden_Severe_17,Median_Rent_17,Median_Renter_Income_17,N_Rent_Households_08,Overall_Burden_Rate_08,Moderate_Burden_Rate_08,Severe_Burden_Rate_08,N_Burden_Overall_08,N_Burden_Moderate_08,N_Burden_Severe_08,Median_Rent_08,Median_Renter_Income_08,N_Rent_Households_change_17_18,Overall_Burden_Rate_change_17_18,Moderate_Burden_Rate_change_17_18,Severe_Burden_Rate_change_17_18,N_Burden_Overall_change_17_18,N_Burden_Moderate_change_17_18,N_Burden_Severe_change_17_18,Median_Rent_change_17_18,Median_Renter_Income_change_17_18,N_Rent_Households_change_08_18,Overall_Burden_Rate_change_08_18,Moderate_Burden_Rate_change_08_18,Severe_Burden_Rate_change_08_18,N_Burden_Overall_change_08_18,N_Burden_Moderate_change_08_18,N_Burden_Severe_change_08_18,Median_Rent_change_08_18
"DeSoto, MS",County,16016,0.414,0.246,0.167,6627,3946,2681,1029,49388,0.363,0.226,0.137,5052,3142,1910,1013,49686,12166,0.534,0.321,0.213,6497,3903,2594,971,55602,2094,0.051,0.021,0.03,1575,804,771,0.016,-0.006,3850,-0.12,-0.074,-0.046,130,43,87,0.06,-0.112
"District of Columbia, DC",County,156172,0.465,0.224,0.24,72598,35048,37550,1516,56449,0.479,0.23,0.249,73007,35091,37916,1542,57302,135421,0.475,0.227,0.248,64286,30732,33554,1136,43992,3784,-0.014,-0.006,-0.008,-409,-43,-366,-0.017,-0.015,20751,-0.01,-0.003,-0.007,8312,4316,3996,0.335,0.283
"Dodge, WI",County,10463,0.448,0.239,0.209,4692,2503,2189,821,36247,0.339,0.22,0.119,3277,2127,1150,773,37743,9039,0.423,0.248,0.175,3820,2241,1579,808,34640,793,0.11,0.019,0.09,1415,376,1039,0.061,-0.04,1424,0.026,-0.009,0.035,872,262,610,0.017,0.046
"Dorchester, SC",County,15284,0.468,0.188,0.28,7157,2876,4281,1165,47733,0.488,0.263,0.225,7346,3955,3391,1089,44333,8228,0.449,0.156,0.292,3691,1285,2406,1012,44433,220,-0.019,-0.074,0.055,-189,-1079,890,0.07,0.077,7056,0.02,0.032,-0.012,3466,1591,1875,0.151,0.074
"Dougherty, GA",County,16900,0.456,0.184,0.272,7711,3108,4603,738,29398,0.474,0.236,0.238,8400,4184,4216,694,28013,15923,0.538,0.269,0.269,8572,4291,4281,693,29883,-825,-0.018,-0.052,0.035,-689,-1076,387,0.063,0.049,977,-0.082,-0.086,0.004,-861,-1183,322,0.065,-0.016
"Douglas, CO",County,26124,0.498,0.305,0.193,13007,7967,5040,1704,71103,0.399,0.232,0.167,10231,5948,4283,1678,78091,19182,0.403,0.27,0.133,7732,5175,2557,1295,66937,502,0.099,0.073,0.026,2776,2019,757,0.016,-0.089,6942,0.095,0.035,0.06,5275,2792,2483,0.316,0.062
"Douglas, GA",County,18234,0.549,0.27,0.279,10003,4917,5086,1074,36971,0.372,0.256,0.116,6222,4282,1940,1022,46149,11126,0.491,0.321,0.17,5465,3575,1890,1058,37517,1528,0.176,0.013,0.163,3781,635,3146,0.05,-0.199,7108,0.057,-0.052,0.109,4538,1342,3196,0.015,-0.015
"Douglas, KS",County,22055,0.506,0.194,0.312,11154,4283,6871,968,36540,0.523,0.223,0.3,11556,4926,6630,909,33105,19067,0.492,0.137,0.355,9382,2618,6764,873,26885,-39,-0.017,-0.029,0.011,-402,-643,241,0.065,0.104,2988,0.014,0.057,-0.043,1772,1665,107,0.109,0.359
"Douglas, NE",County,80385,0.452,0.217,0.235,36358,17458,18900,919,39182,0.438,0.24,0.198,35796,19641,16155,931,41254,66419,0.476,0.234,0.242,31622,15525,16097,837,33634,-1340,0.014,-0.023,0.037,562,-2183,2745,-0.013,-0.05,13966,-0.024,-0.017,-0.007,4736,1933,2803,0.098,0.165
"Douglas, OR",County,12767,0.381,0.211,0.17,4863,2693,2170,839,41588,0.397,0.251,0.146,4854,3065,1789,803,37912,12023,0.434,0.254,0.18,5215,3055,2160,825,35210,555,-0.017,-0.04,0.023,9,-372,381,0.044,0.097,744,-0.053,-0.043,-0.01,-352,-362,10,0.017,0.181
"Dubuque, IA",County,9858,0.422,0.177,0.244,4159,1749,2410,739,34918,0.42,0.251,0.17,3684,2196,1488,788,36128,8707,0.498,0.168,0.33,4337,1462,2875,654,30878,1093,0.002,-0.073,0.075,475,-447,922,-0.062,-0.033,1151,-0.076,0.01,-0.086,-178,287,-465,0.129,0.131
"DuPage, IL",County,89734,0.435,0.215,0.22,39030,19297,19733,1287,59830,0.462,0.239,0.223,38671,20011,18660,1313,53430,78691,0.455,0.236,0.22,35827,18542,17285,1159,51770,5975,-0.027,-0.024,-0.003,359,-714,1073,-0.02,0.12,11043,-0.02,-0.021,0,3203,755,2448,0.11,0.156
"Durham, NC",County,54750,0.504,0.259,0.245,27581,14189,13392,1047,37303,0.498,0.27,0.228,28917,15664,13253,1050,38040,44849,0.485,0.236,0.249,21748,10570,11178,896,35149,-3305,0.006,-0.011,0.016,-1336,-1475,139,-0.003,-0.019,9901,0.019,0.023,-0.005,5833,3619,2214,0.168,0.061
"Dutchess, NY",County,32466,0.566,0.239,0.327,18382,7756,10626,1229,38691,0.557,0.247,0.31,16388,7261,9127,1200,42084,28714,0.534,0.248,0.286,15319,7114,8205,1208,42789,3055,0.009,-0.008,0.017,1994,495,1499,0.024,-0.081,3752,0.033,-0.009,0.042,3063,642,2421,0.018,-0.096
