name,state,fips,census_region,pop,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,winner,partywinner16,per_dem_2012,per_gop_2012,diff_2012,winner12,partywinner12
Houston County,TN,47083,South,8267,865,2180,3165,0.273301738,0.68878357,1315,Trump,Republican,0.46250413,0.521638586,179,Romney,Republican
Humphreys County,TN,47085,South,18135,1967,4928,7139,0.275528786,0.690292758,2961,Trump,Republican,0.423323615,0.558163265,925,Romney,Republican
Jackson County,TN,47087,South,11568,1129,3229,4447,0.25387902,0.726107488,2100,Trump,Republican,0.415509813,0.569650551,644,Romney,Republican
Jefferson County,TN,47089,South,52677,3490,14760,18994,0.183742234,0.777087501,11270,Trump,Republican,0.240819812,0.742214631,8807,Romney,Republican
Johnson County,TN,47091,South,17859,988,5400,6556,0.150701647,0.823672971,4412,Trump,Republican,0.23942525,0.744430094,3128,Romney,Republican
Knox County,TN,47093,South,448644,62861,105724,179266,0.350657682,0.589760468,42863,Trump,Republican,0.344194107,0.635934979,48817,Romney,Republican
Lake County,TN,47095,South,7631,577,1357,1970,0.292893401,0.688832487,780,Trump,Republican,0.423574509,0.557259224,279,Romney,Republican
Lauderdale County,TN,47097,South,27382,3656,4884,8678,0.421295229,0.562802489,1228,Trump,Republican,0.461556169,0.531307551,606,Romney,Republican
Lawrence County,TN,47099,South,42274,2821,12419,15658,0.180163495,0.793140886,9598,Trump,Republican,0.278401998,0.707668047,6533,Romney,Republican
Lewis County,TN,47101,South,11906,890,3579,4601,0.19343621,0.777874375,2689,Trump,Republican,0.308036666,0.664250693,1671,Romney,Republican
Lincoln County,TN,47103,South,33637,2550,10375,13270,0.192162773,0.781838734,7825,Trump,Republican,0.247792286,0.73899917,6508,Romney,Republican
Loudon County,TN,47105,South,50771,4916,17588,23304,0.21095091,0.75472022,12672,Trump,Republican,0.229176108,0.756865766,11644,Romney,Republican
McMinn County,TN,47107,South,52626,3507,14673,18694,0.1876003,0.784904247,11166,Trump,Republican,0.258334269,0.727242115,8355,Romney,Republican
McNairy County,TN,47109,South,26267,1847,7839,10035,0.184055805,0.781165919,5992,Trump,Republican,0.269446427,0.714649811,4367,Romney,Republican
Macon County,TN,47111,South,23003,1071,6260,7490,0.142990654,0.835781041,5189,Trump,Republican,0.224797219,0.761732329,3707,Romney,Republican
Madison County,TN,47113,South,98178,15438,21321,37764,0.408802034,0.564585319,5883,Trump,Republican,0.451205426,0.540389767,3629,Romney,Republican
Marion County,TN,47115,South,28407,2829,7680,10832,0.261170606,0.70901034,4851,Trump,Republican,0.379853902,0.602460592,2316,Romney,Republican
Marshall County,TN,47117,South,31269,2848,8167,11402,0.24978074,0.716277846,5319,Trump,Republican,0.346910243,0.635939976,3101,Romney,Republican
Maury County,TN,47119,South,85515,10026,23781,35068,0.285901677,0.678139614,13755,Trump,Republican,0.358270939,0.627421262,8879,Romney,Republican
Meigs County,TN,47121,South,11701,856,3337,4311,0.198561819,0.774066342,2481,Trump,Republican,0.29383527,0.689236988,1565,Romney,Republican
Monroe County,TN,47123,South,45233,3184,13361,17050,0.186744868,0.783636364,10177,Trump,Republican,0.267647059,0.717953431,7349,Romney,Republican
Montgomery County,TN,47125,South,189961,21686,32320,57278,0.378609588,0.564265512,10634,Trump,Republican,0.439322315,0.544150548,5810,Romney,Republican
Moore County,TN,47127,South,6319,496,2325,2926,0.169514696,0.794600137,1829,Trump,Republican,0.25187567,0.733476242,1348,Romney,Republican
Morgan County,TN,47129,South,21660,1053,5429,6664,0.158013205,0.81467587,4376,Trump,Republican,0.264923077,0.718153846,2946,Romney,Republican
Obion County,TN,47131,South,30941,2425,9525,12223,0.198396466,0.779268592,7100,Trump,Republican,0.270006506,0.716818478,5494,Romney,Republican
Overton County,TN,47133,South,22028,1943,6055,8195,0.23709579,0.738865162,4112,Trump,Republican,0.365939663,0.623220582,1970,Romney,Republican
Perry County,TN,47135,South,7822,597,2167,2855,0.20910683,0.759019264,1570,Trump,Republican,0.378481496,0.602060282,586,Romney,Republican
Pickett County,TN,47137,South,5124,536,2019,2609,0.205442698,0.773859716,1483,Trump,Republican,0.290678659,0.69787408,996,Romney,Republican
Polk County,TN,47139,South,16730,1252,5097,6520,0.19202454,0.781748466,3845,Trump,Republican,0.306321175,0.67799967,2252,Romney,Republican
Putnam County,TN,47141,South,74165,6847,18981,26958,0.253987685,0.704095259,12134,Trump,Republican,0.305859728,0.676714157,9449,Romney,Republican
Rhea County,TN,47143,South,32641,1942,8650,10946,0.177416408,0.790243011,6708,Trump,Republican,0.248156551,0.736717716,5168,Romney,Republican
Roane County,TN,47145,South,52748,4833,15863,21580,0.223957368,0.735078777,11030,Trump,Republican,0.285280584,0.69821166,8705,Romney,Republican
Robertson County,TN,47147,South,68079,6634,19393,27042,0.245322092,0.717143702,12759,Trump,Republican,0.315350961,0.671143238,9352,Romney,Republican
Rutherford County,TN,47149,South,288906,36627,64428,106518,0.343857376,0.604855517,27801,Trump,Republican,0.368361399,0.615578449,24429,Romney,Republican
Scott County,TN,47151,South,21987,934,6044,7123,0.131124526,0.848518882,5110,Trump,Republican,0.217756449,0.767396521,3665,Romney,Republican
Sequatchie County,TN,47153,South,14704,1051,4434,5667,0.185459679,0.782424563,3383,Trump,Republican,0.289437853,0.688776503,2053,Romney,Republican
Sevier County,TN,47155,South,95110,6293,28610,36180,0.173935876,0.79076838,22317,Trump,Republican,0.219015832,0.767338138,18564,Romney,Republican
Shelby County,TN,47157,South,938803,206640,114948,331861,0.622670335,0.346373934,91692,Clinton,Democrat,0.626302431,0.365573474,96665,Obama,Democrat
Smith County,TN,47159,South,19009,1688,5485,7410,0.22780027,0.740215924,3797,Trump,Republican,0.348397119,0.634373676,2025,Romney,Republican
