Region,Year,total_pop,ave_lifeexp,ave_birthrate,gdp_percap,ave_neonatal_mort_rate
East Asia & Pacific,1990,1780171581,66.76732022029898,27.71609677419355,3134.584035282856,22.367857142857144
East Asia & Pacific,1991,1805445473,67.01309837398374,27.279387096774194,3375.617146963313,21.914285714285715
East Asia & Pacific,1992,1828962351,67.32717479674797,26.833516129032258,3593.8697231783194,21.439285714285713
East Asia & Pacific,1993,1851643425,67.63749105691058,26.23406451612903,3824.147675097123,20.960714285714285
East Asia & Pacific,1994,1874414310,67.91522032520326,25.743387096774192,4115.037547874951,20.482142857142858
East Asia & Pacific,1995,1896917329,68.33829346970889,25.214935483870967,4427.873158956224,19.992857142857144
East Asia & Pacific,1996,1919182682,68.56728211382115,24.65925,4740.7057954462925,19.535714285714285
East Asia & Pacific,1997,1940987063,68.90004959349595,23.932193548387097,4982.1822017518525,19.075
East Asia & Pacific,1998,1962063288,69.31259512195123,23.259483870967742,4971.350908396956,18.607142857142858
East Asia & Pacific,1999,1981853907,69.53904327301338,23.27946875,5199.484395968329,18.132142857142856
East Asia & Pacific,2000,2000694556,69.8786455792683,22.319709677419354,5585.732587459656,17.65714285714286
East Asia & Pacific,2001,2018871629,70.33982845528456,21.819935483870967,5895.60617730962,17.182142857142857
East Asia & Pacific,2002,2036127122,70.66270325203253,21.31348387096774,6256.365741847951,16.7
East Asia & Pacific,2003,2052580068,70.9826162601626,21.062322580645162,6667.379902721427,16.232142857142858
East Asia & Pacific,2004,2068447258,71.32924390243903,20.702761437571027,7241.997531325044,15.792857142857143
East Asia & Pacific,2005,2083988624,71.5353933910307,21.035040381846073,7884.562386979875,15.382142857142856
East Asia & Pacific,2006,2099209976,71.97443089430897,20.929969696969696,8662.315274234605,14.975
East Asia & Pacific,2007,2113722000,72.22483739837399,20.92184375,9595.590050641867,14.614285714285714
East Asia & Pacific,2008,2128418789,72.50078617886179,20.364,10226.7753977994,14.278571428571428
East Asia & Pacific,2009,2142725463,72.79498780487806,20.16025806451613,10634.751039207307,13.914285714285715
East Asia & Pacific,2010,2156964851,73.03359918699188,19.948406249999998,11549.062411151235,13.557142857142857
East Asia & Pacific,2011,2171288002,73.23438455284554,20.161929736420127,12435.356654990137,13.20357142857143
East Asia & Pacific,2012,2185901380,73.4751837398374,19.678677419354837,13308.757083484628,12.860714285714286
East Asia & Pacific,2013,2200670458,73.71267967479676,19.235967741935482,14239.265181024883,12.514285714285714
East Asia & Pacific,2014,2215635403,73.93828292682927,19.231033333333333,15098.633436764505,12.17142857142857
Europe & Central Asia,1990,841062141,71.98141164758587,16.474941176470587,11904.459998564638,11.992156862745098
Europe & Central Asia,1991,844342182,71.9817336585366,15.961509433962265,12147.570758212585,11.819607843137256
Europe & Central Asia,1992,847708966,72.0469243404679,15.560538461538462,12141.507074735084,11.652941176470588
Europe & Central Asia,1993,850676140,71.94566948730713,15.022882352941176,12211.386931448082,11.470588235294118
Europe & Central Asia,1994,852497017,72.23309469153516,14.40498076923077,12374.175971816208,11.22156862745098
Europe & Central Asia,1995,853987473,72.22492097560976,13.945769230769232,12628.694293905699,10.9
Europe & Central Asia,1996,855160755,72.67630081300814,13.487358490566038,13084.0930061498,10.568627450980392
Europe & Central Asia,1997,856510660,72.89712382739212,13.202384615384615,13659.150858938117,10.217647058823529
Europe & Central Asia,1998,857709897,73.16060545193689,12.829403846153847,14142.725098429735,9.86078431372549
Europe & Central Asia,1999,859084460,73.44409516977522,12.6153370604314,14701.640983688412,9.501960784313725
Europe & Central Asia,2000,860243183,73.617308630394,12.50854769805988,15826.325029031543,9.12156862745098
Europe & Central Asia,2001,861744170,73.98402767354597,12.233158318225879,16660.54089159832,8.745098039215685
Europe & Central Asia,2002,863439681,74.21092406810861,12.15068539611176,17427.877366498466,8.376470588235295
Europe & Central Asia,2003,865721702,74.32687570356474,12.11731776301165,18085.056689147084,8.013725490196078
Europe & Central Asia,2004,868315097,74.73282706378988,12.493533815440571,19210.62172810604,7.6568627450980395
Europe & Central Asia,2005,870966111,74.8611302532833,12.221785307339731,20233.757378791106,7.329411764705882
Europe & Central Asia,2006,873647564,75.13234662288932,12.405384833192375,22389.865481197536,7.02156862745098
Europe & Central Asia,2007,876646494,75.3593184803002,12.50928277847556,23965.310413714407,6.729411764705882
Europe & Central Asia,2008,880129893,75.69701735459664,12.835927919493205,25601.56754472651,6.454901960784314
Europe & Central Asia,2009,883770601,75.98030266075389,12.851185534081566,24898.670559538506,6.190196078431373
Europe & Central Asia,2010,887253276,76.24659453351526,12.773006289308176,25954.808362708944,5.923529411764706
Europe & Central Asia,2011,890976693,76.65305244755245,12.609365384615385,27636.43107376337,5.67843137254902
Europe & Central Asia,2012,893196694,76.71683405069345,12.488169811320756,28228.853533521527,5.452941176470588
Europe & Central Asia,2013,898996744,77.07159902439025,12.350826923076923,28928.590647573805,5.229411764705882
Europe & Central Asia,2014,902126822,77.23792731707317,12.381596153846154,29755.261169094883,5.025490196078431
Latin America & Caribbean,1990,445998222,68.95348292682928,26.924166666666668,5999.479619030055,19.46060606060606
Latin America & Caribbean,1991,454117634,69.2464536585366,26.522714285714287,6305.944465962197,18.893939393939394
Latin America & Caribbean,1992,462201058,69.55735069215558,25.83172972972973,6521.209520137462,18.375757575757575
Latin America & Caribbean,1993,470263697,69.72150940766552,25.45105714285714,7110.132467885018,17.884848484848487
Latin America & Caribbean,1994,478310786,69.96376445993032,24.848055555555554,7473.9754795831295,17.384848484848487
Latin America & Caribbean,1995,486343677,70.20044041811848,24.314611111111113,7539.8716005117,16.86969696969697
Latin America & Caribbean,1996,494384205,70.43740069686412,23.642162162162162,7698.184934649416,16.381818181818183
Latin America & Caribbean,1997,502390020,70.7993117996045,23.24672972972973,8105.534756584665,15.90909090909091
Latin America & Caribbean,1998,510356845,70.91088641114983,22.69175,8243.678627092406,15.472727272727273
Latin America & Caribbean,1999,518188225,71.14881881533101,22.320857142857143,8290.766564258647,15.063636363636364
Latin America & Caribbean,2000,525886558,71.38873031358887,21.825657142857143,8679.908491229407,14.66969696969697
Latin America & Caribbean,2001,533449671,71.65988362369339,21.178638888888887,8820.862280129808,14.296969696969697
Latin America & Caribbean,2002,540884684,72.02142781806197,20.655243243243245,8858.847570060647,13.951515151515151
Latin America & Caribbean,2003,548225528,72.15020836236934,20.462142857142858,9092.154472236094,13.639393939393939
Latin America & Caribbean,2004,555515431,72.39402439024393,20.1272,9779.845935171172,13.336363636363636
Latin America & Caribbean,2005,562783235,72.61493728222997,19.634444444444444,10493.31639102177,13.063636363636364
Latin America & Caribbean,2006,570029991,72.8943861788618,19.014657894736843,11376.152546900672,12.77878787878788
Latin America & Caribbean,2007,577248307,73.16587013843113,18.641052631578948,12201.871042471514,12.503030303030304
Latin America & Caribbean,2008,584435842,73.35097824653923,18.548567567567567,12803.386722547595,12.242424242424242
Latin America & Caribbean,2009,591577623,73.60650296638102,18.17886842105263,12606.739761468043,12.00909090909091
Latin America & Caribbean,2010,598662940,73.68416445993033,17.799513047497886,13373.546495468727,11.860606060606061
Latin America & Caribbean,2011,605666731,73.98783875338754,17.654263157894736,14219.418267123865,11.56060606060606
Latin America & Caribbean,2012,612609865,74.05578861788618,17.376421052631578,14684.662273750615,11.299999999999999
Latin America & Caribbean,2013,619484449,74.27801672473869,17.140447368421054,15178.742400235778,11.015151515151516
Latin America & Caribbean,2014,626256018,74.56136585365854,17.13088888888889,15244.142831333425,10.709090909090909
Middle East & North Africa,1990,254531443,68.45504645760744,31.528095238095236,7135.641986089399,22.214285714285715
Middle East & North Africa,1991,261076814,68.80868408826946,30.65714285714286,7271.638905707246,21.504761904761907
Middle East & North Africa,1992,265336498,69.13001277584205,29.906666666666666,7615.3062352311335,20.823809523809523
Middle East & North Africa,1993,271312554,69.47843321718933,29.060714285714287,7749.320331185239,20.152380952380952
Middle East & North Africa,1994,277344152,69.77869570267134,28.247619047619047,7849.260169307266,19.485714285714288
Middle East & North Africa,1995,284973163,70.0623356562137,27.47009523809524,8427.133371292599,18.85238095238095
Middle East & North Africa,1996,290950450,70.3407200929152,26.86342857142857,8849.114522415945,18.261904761904763
Middle East & North Africa,1997,296986652,70.59875261324042,26.225190476190477,9173.543163082979,17.666666666666668
Middle East & North Africa,1998,303006934,70.81729152148665,25.621238095238095,9541.87204560329,17.12857142857143
Middle East & North Africa,1999,309069358,71.06385830429734,24.989142857142856,9931.642223663246,16.61904761904762
Middle East & North Africa,2000,315122478,71.32458652729386,24.52638095238095,10646.770222327214,16.11904761904762
Middle East & North Africa,2001,321163368,71.58411962833915,23.989428571428572,10916.300963938089,15.657142857142857
Middle East & North Africa,2002,327207928,71.78095470383278,23.592904761904762,11165.117345146591,15.18095238095238
Middle East & North Africa,2003,333373436,71.97353542392567,23.31852380952381,11615.047688444167,14.709523809523809
Middle East & North Africa,2004,339823622,72.23072473867597,22.987333333333332,12686.42339819207,14.252380952380953
Middle East & North Africa,2005,346657300,72.4266980255517,22.74642857142857,13514.60988778861,13.804761904761905
Middle East & North Africa,2006,353917337,72.6494030197445,22.57552380952381,14528.798825807986,13.357142857142858
